"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","threshold"
"202646_s_at",-1044.20462790698,2799.6111744186,-4.42485664142195,2.84082065948217e-05,0.00121268212174791,-4.46236523904098,"CSDE1","Down"
"213451_x_at",-249.530739534884,262.612772093023,-4.41905960717956,2.90344669126069e-05,0.00123704593922298,-4.46266735958802,"TNXA","Down"
"217820_s_at",723.621465116279,1971.59787209302,4.41803858373429,2.91461436023867e-05,0.00123943419445035,-4.46272056104101,"ENAH","Up"
"206378_at",1866.74618604651,1878.21539534884,4.41633283463038,2.93336410794846e-05,0.00124503147461744,-4.46280943369791,"SCGB2A2","Up"
"210145_at",-141.052586046512,217.264386046512,-4.41546185303369,2.94298295316246e-05,0.00124673933736348,-4.46285480999852,"PLA2G4A","Down"
"202551_s_at",-391.979332558139,614.005924418605,-4.40600388096489,3.04941751753415e-05,0.00128748135549396,-4.46334739996886,"CRIM1","Down"
"209392_at",-921.800604651164,2021.72848837209,-4.40589082689458,3.05071200332456e-05,0.00128748135549396,-4.46335328637662,"ENPP2","Down"
"208949_s_at",-1612.95976744186,4814.47058139535,-4.40211068229502,3.09430243367658e-05,0.00130239579631745,-4.46355008500974,"LGALS3","Down"
"33494_at",-204.401590697675,402.677181395349,-4.40181463002385,3.09774165080216e-05,0.00130239579631745,-4.46356549594937,"ETFDH","Down"
"201274_at",318.200688372093,278.300881395349,4.39873167379932,3.13377647258205e-05,0.00131506480486904,-4.46372596233153,"PSMA5","Up"
"205158_at",-327.050672093023,452.222998837209,-4.39436690845209,3.18548741485076e-05,0.00133425218167518,-4.46395309534606,"RNASE4","Down"
"212590_at",-376.341837209303,1138.84052325581,-4.39378325832647,3.19246434739836e-05,0.00133466572332228,-4.46398346270719,"RRAS2","Down"
"205945_at",-226.463581395349,648.475209302326,-4.38997525234472,3.23834906887417e-05,0.00135131333898358,-4.46418156718466,"IL6R","Down"
"201041_s_at",-1944.78820930233,3194.45545348837,-4.38345962463554,3.31834194854932e-05,0.00138210492784158,-4.46452042416461,"DUSP1","Down"
"209541_at",-855.757790697675,1727.73491860465,-4.38282845853714,3.32619151509923e-05,0.00138278965542829,-4.4645532419228,"IGF1","Down"
"222209_s_at",-450.231453488372,641.875840697674,-4.37661736268167,3.40439991527756e-05,0.00141266747322402,-4.46487612263135,"TMEM135","Down"
"205480_s_at",-1766.18604651163,3997.56279069767,-4.37584983219015,3.41418694795584e-05,0.00141409531154833,-4.46491601373046,"UGP2","Down"
"206208_at",-200.478337209302,390.876273255814,-4.37455071534331,3.43081440529655e-05,0.00141834577723976,-4.46498352881202,"CA4","Down"
"206069_s_at",-80.3196209302325,160.270261627907,-4.37045563543421,3.48374123006682e-05,0.00143755936721443,-4.46519631442586,"ACADL","Down"
"221885_at",-67.6369627906977,126.79853255814,-4.36305976977718,3.58133488926058e-05,0.00147509954412927,-4.46558047537214,"DENND2A","Down"
