"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"214703_s_at",-51.38311627907,960.694651162791,-0.687769741758446,0.493467284628405,0.742335811947729,-4.5997979429475
"209363_s_at",-66.9268372093023,860.504697674419,-0.687692984916145,0.493515386072118,0.742335811947729,-4.59979887036199
"203235_at",-10.869288372093,96.2422139534884,-0.687674595908261,0.49352691034694,0.742335811947729,-4.59979909253213
"222164_at",-39.8320348837209,552.052424418605,-0.687574635035466,0.493589557757953,0.742335811947729,-4.59980030012592
"217638_at",-57.8634883720929,711.235581395349,-0.687542536550917,0.493609675417594,0.742335811947729,-4.59980068786054
"208395_s_at",-12.8228,146.893495348837,-0.687485828152269,0.493645218382395,0.742335811947729,-4.59980137282809
"202287_s_at",-62.2369418604651,620.581773255814,-0.687458966415829,0.493662054924634,0.742335811947729,-4.59980169726547
"212135_s_at",-149.428418604652,2190.34465116279,-0.687430124897403,0.493680132713432,0.742335811947729,-4.59980204560094
"202255_s_at",7.03644186046503,111.768388372093,0.687149884730702,0.49385580529639,0.74251565474662,-4.59980542947708
"215864_at",29.9851046511631,514.811215116279,0.687133019158867,0.493866378808942,0.74251565474662,-4.59980563308437
"204574_s_at",-96.7877441860464,1462.50773255814,-0.686906127657607,0.494008635608843,0.742604132939182,-4.59980837172551
"217856_at",-54.6845348837206,851.171941860465,-0.686895194968354,0.49401549076743,0.742604132939182,-4.59980850366365
"213824_at",-28.4598139534884,352.658693023256,-0.686793097637089,0.494079511679191,0.742604132939182,-4.59980973569796
"212286_at",14.9187744186046,241.148938372093,0.68672923640751,0.494119558647519,0.742604132939182,-4.59981050623649
"204101_at",-30.2572255813953,262.461580232558,-0.686718491210055,0.494126297065756,0.742604132939182,-4.59981063587929
"209437_s_at",65.3966976744188,849.397302325581,0.686686133442837,0.494146589239677,0.742604132939182,-4.59981102626979
"214139_at",-50.4387906976744,817.699860465116,-0.686667124663974,0.494158510219548,0.742604132939182,-4.5998112555988
"209472_at",-84.5299534883723,1362.32237209302,-0.686505575096021,0.494259829156476,0.742677244361741,-4.59981320434255
"201929_s_at",-125.048372093024,2501.51465116279,-0.686483268390611,0.494273820126761,0.742677244361741,-4.59981347338914
"208494_at",-4.16640697674423,55.4164104651163,-0.686282154487794,0.494399970344475,0.742807941101824,-4.5998158986866
"203787_at",-45.1458186046513,579.70941627907,-0.686224611737615,0.494436067693745,0.742807941101824,-4.59981659248531
"217042_at",68.0077209302322,1091.51760465116,0.68615639338186,0.494478863853515,0.742807941101824,-4.59981741492713
"218995_s_at",52.3683953488373,685.909569767442,0.686132038041164,0.494494143441389,0.742807941101824,-4.59981770853623
"212783_at",51.9750697674419,909.819930232558,0.68599607161592,0.494579448177527,0.742886002274339,-4.5998193474546
"216071_x_at",-14.0475511627907,147.167784883721,-0.685709268061586,0.494759413718338,0.743097203408131,-4.59982280349858
"200885_at",57.0428372093021,707.956534883721,0.685621337391702,0.494814596216349,0.743097203408131,-4.59982386279875
"202613_at",46.835953488372,795.827093023256,0.685612566533553,0.494820100712195,0.743097203408131,-4.59982396845393
